,missing_pct
Results First Posted,99.37748573404808
Study Documents,96.85284454435414
Acronym,57.1156839010894
Phases,42.55576690299153
Interventions,15.320767767594672
Locations,10.11585682171883
Primary Completion Date,0.622514265951928
Completion Date,0.622514265951928
Study Designs,0.6052222030088189
Outcome Measures,0.6052222030088189
Start Date,0.5879301400657099
Enrollment,0.5879301400657099
Gender,0.17292062943109113
Other IDs,0.017292062943109116
Study Results,0.0
NCT Number,0.0
Rank,0.0
Title,0.0
Conditions,0.0
Sponsor/Collaborators,0.0
Status,0.0
Age,0.0
Funded Bys,0.0
Study Type,0.0
First Posted,0.0
Last Update Posted,0.0
URL,0.0
